filename,location,difference_type,dug_2026jan_value,dug_2026jan_type,heal_cdes_value,heal_cdes_type,dug_2026jan_context,heal_cdes_context
HDPCDE6141.json,$[0].metadata.enum[4],value_mismatch, 92,str,92,str,"[
  ""1"",
  "" 2"",
  "" 3"",
  "" 4"",
  "" 92""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""92""
]"
HDPCDE6141.json,$[1].metadata.enum[1],value_mismatch, 2,str,2,str,"[
  ""1"",
  "" 2"",
  "" 3"",
  "" 4"",
  "" 92""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""92""
]"
HDPCDE6141.json,$[1].metadata.enum[2],value_mismatch, 3,str,3,str,"[
  ""1"",
  "" 2"",
  "" 3"",
  "" 4"",
  "" 92""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""92""
]"
HDPCDE6141.json,$[1].metadata.enum[3],value_mismatch, 4,str,4,str,"[
  ""1"",
  "" 2"",
  "" 3"",
  "" 4"",
  "" 92""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""92""
]"
HDPCDE6141.json,$[1].metadata.enum[4],value_mismatch, 92,str,92,str,"[
  ""1"",
  "" 2"",
  "" 3"",
  "" 4"",
  "" 92""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""92""
]"
HDPCDE6141.json,$[2].metadata.enum[1],value_mismatch, 2,str,2,str,"[
  ""1"",
  "" 2"",
  "" 3"",
  "" 4"",
  "" 92""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""92""
]"
HDPCDE6141.json,$[2].metadata.enum[2],value_mismatch, 3,str,3,str,"[
  ""1"",
  "" 2"",
  "" 3"",
  "" 4"",
  "" 92""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""92""
]"
HDPCDE6141.json,$[2].metadata.enum[3],value_mismatch, 4,str,4,str,"[
  ""1"",
  "" 2"",
  "" 3"",
  "" 4"",
  "" 92""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""92""
]"
HDPCDE6141.json,$[2].metadata.enum[4],value_mismatch, 92,str,92,str,"[
  ""1"",
  "" 2"",
  "" 3"",
  "" 4"",
  "" 92""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""92""
]"
HDPCDE6141.json,$[3].metadata.enum[1],value_mismatch, 2,str,2,str,"[
  ""1"",
  "" 2"",
  "" 3"",
  "" 4"",
  "" 92""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""92""
]"
HDPCDE6141.json,$[3].metadata.enum[2],value_mismatch, 3,str,3,str,"[
  ""1"",
  "" 2"",
  "" 3"",
  "" 4"",
  "" 92""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""92""
]"
HDPCDE6141.json,$[3].metadata.enum[3],value_mismatch, 4,str,4,str,"[
  ""1"",
  "" 2"",
  "" 3"",
  "" 4"",
  "" 92""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""92""
]"
HDPCDE6141.json,$[3].metadata.enum[4],value_mismatch, 92,str,92,str,"[
  ""1"",
  "" 2"",
  "" 3"",
  "" 4"",
  "" 92""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""92""
]"
HDPCDE6141.json,$[4].metadata.enum[1],value_mismatch, 2,str,2,str,"[
  ""1"",
  "" 2"",
  "" 3"",
  "" 4"",
  "" 92""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""92""
]"
HDPCDE6141.json,$[4].metadata.enum[2],value_mismatch, 3,str,3,str,"[
  ""1"",
  "" 2"",
  "" 3"",
  "" 4"",
  "" 92""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""92""
]"
