filename,location,difference_type,dug_2026jan_value,dug_2026jan_type,heal_cdes_value,heal_cdes_type,dug_2026jan_context,heal_cdes_context
HDPCDE00001.json,$[12].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""1"",
    ""2"",
    ""3"",
    ""4"",
    ""5"",
    ""6""
  ],
  ""permissible_values"": {
    ""1"": ""Did not complete Secondary School or less than High School"",
    ""2"": ""Some Secondary School or High School education"",
    ""3"": ""High School or Secondary School degree complete"",
    ""4"": ""Associate's or Technical Degree complete"",
    ""5"": ""College or Baccalaureate degree complete"",
    ""6"": ""Doctoral or Postgraduate education""
  }
}","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""1"",
    ""2"",
    ""3"",
    ""4"",
    ""5"",
    ""6""
  ],
  ""permissible_values"": {
    ""1"": ""Did not complete Secondary School or less than High School"",
    ""2"": ""Some Secondary School or High School education"",
    ""3"": ""High School or Secondary School degree complete"",
    ""4"": ""Associate's or Technical Degree complete"",
    ""5"": ""College or Baccalaureate degree complete"",
    ""6"": ""Doctoral or Postgraduate education""
  }
}"
HDPCDE00001.json,$[13].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""1"",
    ""2"",
    ""3""
  ],
  ""permissible_values"": {
    ""1"": ""Full-time employment, Employment involving the standard or customary working time"",
    ""2"": ""Not employed, The state of not having a job"",
    ""3"": ""Part-time employment, Employment involving less than the standard or customary working time""
  }
}","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""1"",
    ""2"",
    ""3""
  ],
  ""permissible_values"": {
    ""1"": ""Full-time employment, Employment involving the standard or customary working time"",
    ""2"": ""Not employed, The state of not having a job"",
    ""3"": ""Part-time employment, Employment involving less than the standard or customary working time""
  }
}"
HDPCDE00001.json,$[14].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""1"",
    ""2"",
    ""3"",
    ""4"",
    ""5"",
    ""6""
  ],
  ""permissible_values"": {
    ""1"": ""Divorced,Marriage contract has been declared dissolved and inactive"",
    ""2"": ""Married, A current marriage contract is active"",
    ""3"": ""Never Married, No marriage contract has ever been entered"",
    ""4"": ""Separated, A person who is separated from their spouse, whether or not there is a legal arrangement"",
    ""5"": ""Widowed, The spouse has died"",
    ""6"": ""Domestic Partner, Person decla","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""1"",
    ""2"",
    ""3"",
    ""4"",
    ""5"",
    ""6""
  ],
  ""permissible_values"": {
    ""1"": ""Divorced,Marriage contract has been declared dissolved and inactive"",
    ""2"": ""Married, A current marriage contract is active"",
    ""3"": ""Never Married, No marriage contract has ever been entered"",
    ""4"": ""Separated, A person who is separated from their spouse, whether or not there is a legal arrangement"",
    ""5"": ""Widowed, The spouse has died"",
    "
HDPCDE00001.json,$[15].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""1"",
    ""2"",
    ""3"",
    ""4"",
    ""5"",
    ""6"",
    ""7"",
    ""8"",
    ""9"",
    ""10""
  ],
  ""permissible_values"": {
    ""1"": ""Less than $10,000"",
    ""2"": ""$10,000-$24,999"",
    ""3"": ""$25,000-$34,999"",
    ""4"": ""$35,000-$49,999"",
    ""5"": ""$50,000-$74,999"",
    ""6"": ""$75,000-$99,999"",
    ""7"": ""$100,000-$149,999"",
    ""8"": ""$150,000-$199,999"",
    ""9"": ""$200,000 or more"",
    ""10"": ""Prefer not to answer""
  }
}","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""1"",
    ""2"",
    ""3"",
    ""4"",
    ""5"",
    ""6"",
    ""7"",
    ""8"",
    ""9"",
    ""10""
  ],
  ""permissible_values"": {
    ""1"": ""Less than $10,000"",
    ""2"": ""$10,000-$24,999"",
    ""3"": ""$25,000-$34,999"",
    ""4"": ""$35,000-$49,999"",
    ""5"": ""$50,000-$74,999"",
    ""6"": ""$75,000-$99,999"",
    ""7"": ""$100,000-$149,999"",
    ""8"": ""$150,000-$199,999"",
    ""9"": ""$200,000 or more"",
    ""10"": ""Prefer not to answer""
  }
}"
HDPCDE00001.json,$[16].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""No"",
    ""1"": ""Yes""
  }
}","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""No"",
    ""1"": ""Yes""
  }
}"
HDPCDE00001.json,$[17].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,{},"{
  ""crf_name"": ""Demographics Adult""
}"
HDPCDE00001.json,$[18].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""0.75"",
    ""0.5"",
    ""0.25"",
    ""0""
  ],
  ""permissible_values"": {
    ""0"": ""less than one week"",
    ""0.5"": ""2 weeks"",
    ""0.25"": ""1 week"",
    ""0.75"": ""3 weeks""
  }
}","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""0.75"",
    ""0.5"",
    ""0.25"",
    ""0""
  ],
  ""permissible_values"": {
    ""0"": ""less than one week"",
    ""0.5"": ""2 weeks"",
    ""0.25"": ""1 week"",
    ""0.75"": ""3 weeks""
  }
}"
HDPCDE00001.json,$[19].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}"
HDPCDE00001.json,$[20].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}"
HDPCDE00001.json,$[21].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}"
